symbol,unlock_date,category,unlock_amount,total_supply,unlock_pct_supply,open_price,avg_daily_volume_usd,pre7_return,pre_return_-7,pre_return_-6,pre_return_-5,pre_return_-4,pre_return_-3,pre_return_-2,pre_return_-1,return_0,btc_return_0,excess_return_0,return_1,btc_return_1,excess_return_1,return_2,btc_return_2,excess_return_2,return_3,btc_return_3,excess_return_3,return_4,btc_return_4,excess_return_4,return_5,btc_return_5,excess_return_5,return_6,btc_return_6,excess_return_6,return_7,btc_return_7,excess_return_7,return_8,btc_return_8,excess_return_8,return_9,btc_return_9,excess_return_9,return_10,btc_return_10,excess_return_10,return_11,btc_return_11,excess_return_11,return_12,btc_return_12,excess_return_12,return_13,btc_return_13,excess_return_13,return_14,btc_return_14,excess_return_14
RNDR,2024-04-01,VC,5000000,536870912,0.9313,10.653,68363126.0,-0.024984,0.010433,0.016839,0.027455,0.022605,0.002196,-0.023337,-0.024984,-0.054163,0.024401,-0.078564,-0.113583,0.000972,-0.114555,-0.12175,-0.059184,-0.062565,-0.098188,-0.052009,-0.046179,-0.133859,-0.015728,-0.118131,-0.104384,-0.025316,-0.079068,-0.083451,-0.009861,-0.073589,-0.032198,-0.003187,-0.02901,-0.116211,0.029287,-0.145498,-0.133765,-0.006268,-0.127497,-0.152539,0.015074,-0.167614,-0.231672,0.006094,-0.237766,,-0.035435,,,-0.081309,,,-0.056341,
AXS,2024-01-22,VC,6000000,270000000,2.2222,7.79,8394595.0,0.0,0.008986,0.066752,0.037227,-0.025674,-0.025674,0.001284,0.0,-0.068036,-0.002775,-0.065261,-0.092426,-0.051037,-0.041389,-0.077022,-0.043132,-0.033889,-0.087291,-0.038641,-0.048651,-0.05905,-0.04161,-0.01744,-0.056483,0.003057,-0.05954,-0.065469,0.010183,-0.075651,-0.038511,0.008035,-0.046545,-0.055199,0.038532,-0.093731,-0.106547,0.02986,-0.136407,-0.097561,0.0212,-0.118761,-0.087291,0.033262,-0.120553,,0.036069,,,0.031539,,,0.021269,
ARB,2023-09-16,VC,1110000000,10000000000,11.1,0.8077,27360848.0,-0.104137,-0.003882,-0.063768,-0.154597,-0.131308,-0.128757,-0.108794,-0.104137,0.024885,0.002913,0.021972,-0.016219,0.001393,-0.017612,0.019809,0.00018,0.019629,0.069828,0.009041,0.060787,0.065371,0.025922,0.039449,0.017952,0.022708,-0.004755,0.040485,0.00171,0.038775,0.016095,0.002165,0.013931,-0.000248,0.002007,-0.002255,-0.000743,-0.010344,0.009601,0.023276,-0.008216,0.031492,0.013619,-0.011351,0.02497,,-0.005646,,,0.018801,,,0.014487,
OP,2023-05-31,VC,24160000,4294967296,0.5625,1.42,31373650.0,-0.149191,-0.045536,-0.031156,-0.03595,-0.041342,-0.016177,-0.086878,-0.149191,-0.026761,-0.001514,-0.025247,-0.023239,-0.018966,-0.004274,0.020423,-0.033114,0.053536,0.044366,-0.017803,0.06217,0.042254,-0.024054,0.066307,-0.023944,-0.022396,-0.001548,0.052817,-0.072403,0.12522,-0.033099,-0.018254,-0.014844,-0.03662,-0.050369,0.013749,-0.062676,-0.044627,-0.018049,-0.23169,-0.045376,-0.186314,-0.230282,-0.068328,-0.161953,,-0.065288,,,-0.066022,,,-0.064974,
OP,2023-06-30,VC,24160000,4294967296,0.5625,1.221,26616202.0,-0.099558,0.022861,-0.036873,-0.017699,-0.054572,-0.033923,-0.102507,-0.099558,0.092547,0.012299,0.080248,0.103194,0.013119,0.090075,0.091728,0.016906,0.074822,0.109746,0.017941,0.091805,0.050778,0.035867,0.014911,0.010647,0.022911,-0.012264,-0.029484,0.01421,-0.043694,0.004914,-0.00605,0.010964,-0.003276,0.008887,-0.012163,-0.005733,0.00689,-0.012623,-0.017199,0.00277,-0.019969,0.002457,0.01111,-0.008653,,0.01811,,,0.010061,,,0.045776,
OP,2023-07-31,VC,24160000,4294967296,0.5625,1.624,40802566.0,0.027198,-0.045541,-0.082226,-0.043011,-0.053131,-0.065149,-0.045541,0.027198,-0.006773,-0.002446,-0.004327,0.01601,-0.00411,0.02012,0.008621,0.012029,-0.003408,0.055419,-0.005686,0.061104,0.038793,-0.005426,0.044219,0.04064,-0.008139,0.04878,0.04803,-0.009565,0.057595,0.107143,-0.00901,0.116153,0.034483,-0.004832,0.039315,-0.044951,0.014224,-0.059175,-0.027094,0.007805,-0.034898,-0.021552,0.003504,-0.025056,,0.002491,,,0.002632,,,-0.001671,
APE,2023-03-17,VC,15607000,1000000000,1.5607,4.111,20165375.0,0.031093,0.011284,-0.05341,0.131645,0.119107,0.070712,0.027081,0.031093,0.07857,0.029364,0.049206,0.034055,0.128037,-0.093982,0.040866,0.107958,-0.067092,-0.012892,0.151827,-0.164719,0.004622,0.141291,-0.136669,-0.029676,0.157287,-0.186963,0.012406,0.122101,-0.109696,-0.005595,0.165108,-0.170702,-0.026271,0.130481,-0.156752,-0.00073,0.13083,-0.13156,-0.04792,0.151628,-0.199548,-0.009973,0.116911,-0.126884,,0.122517,,,0.167298,,,0.154119,
APE,2023-06-17,VC,15607000,1000000000,1.5607,2.098,19678188.0,-0.254177,-0.187344,-0.161749,-0.199431,-0.20583,-0.266619,-0.257021,-0.254177,0.005243,0.029162,-0.023919,-0.024309,0.035881,-0.06019,-0.016206,0.028966,-0.045172,0.026215,0.048669,-0.022454,0.060534,0.105846,-0.045312,0.039561,0.171705,-0.132144,0.083889,0.167449,-0.083559,0.040991,0.19884,-0.157849,0.099142,0.192548,-0.093406,0.107722,0.190018,-0.082296,0.103432,0.182413,-0.078981,0.048141,0.198994,-0.150853,,0.174968,,,0.189418,,,0.190383,
LDO,2023-05-25,VC,22965000,1000000000,2.2965,2.053,19062006.0,-0.13014,-0.095803,-0.077999,-0.089021,-0.122933,-0.140738,-0.135227,-0.13014,-0.019971,-0.032719,0.012748,-0.030687,-0.0274,-0.003287,-0.038967,-0.018872,-0.020095,0.021432,-0.013422,0.034854,0.062348,0.031058,0.03129,0.05017,0.018986,0.031185,0.018997,0.017443,0.001554,0.014126,-0.00034,0.014466,0.121773,-0.014757,0.13653,0.124208,0.000844,0.123364,0.10716,-0.005525,0.112685,0.075986,-0.003835,0.079822,,-0.054792,,,0.000385,,,-0.03234,
MAGIC,2023-02-25,VC,30000000,350000000,8.5714,1.6298,38192315.0,-0.204381,-0.044448,-0.1129,-0.119096,-0.091335,-0.112559,-0.108607,-0.204381,-0.014848,-0.031533,0.016685,0.034912,-0.032712,0.067624,0.006811,-0.016096,0.022907,-0.070622,-0.018718,-0.051904,0.004234,-0.033359,0.037593,-0.035955,-0.013,-0.022955,-0.150571,-0.019836,-0.130735,-0.244815,-0.066243,-0.178573,-0.211621,-0.066567,-0.145054,-0.151184,-0.063072,-0.088112,-0.148546,-0.063918,-0.084628,-0.219168,-0.072775,-0.146393,,-0.093348,,,-0.149455,,,-0.158291,
