symbol,unlock_date,category,unlock_pct_supply,day_offset,date,open,close,volume,quote_volume
PYTH,2024-05-20,OTC,25.0,-3,2024-05-17,0.4249,0.4414,30782867.2,13464751.82865
PYTH,2024-05-20,OTC,25.0,-2,2024-05-18,0.4414,0.4402,29018700.4,13169151.09052
PYTH,2024-05-20,OTC,25.0,-1,2024-05-19,0.4404,0.382,91790252.8,36435372.1343
PYTH,2024-05-20,OTC,25.0,0,2024-05-20,0.3819,0.4637,178192584.0,75811504.22041
PYTH,2024-05-20,OTC,25.0,1,2024-05-21,0.4637,0.4638,106781018.1,51035942.31326
PYTH,2024-05-20,OTC,25.0,2,2024-05-22,0.4639,0.4652,64162150.0,29737062.30014
PYTH,2024-05-20,OTC,25.0,3,2024-05-23,0.4652,0.4406,76413351.3,33830481.27341
PYTH,2024-05-20,OTC,25.0,4,2024-05-24,0.4406,0.4342,39535986.7,17117735.71519
PYTH,2024-05-20,OTC,25.0,5,2024-05-25,0.4342,0.4428,25810230.6,11379373.87987
PYTH,2024-05-20,OTC,25.0,6,2024-05-26,0.4429,0.4406,19382935.1,8572025.60311
PYTH,2024-05-20,OTC,25.0,7,2024-05-27,0.4407,0.4473,33618919.8,14974323.43088
STRK,2024-06-15,VC,0.64,-7,2024-06-08,1.206,1.13,27012802.2,31252951.95119
STRK,2024-06-15,VC,0.64,-6,2024-06-09,1.129,1.168,14758063.53,17036356.33977
STRK,2024-06-15,VC,0.64,-5,2024-06-10,1.169,1.119,18110227.18,20496923.57755
STRK,2024-06-15,VC,0.64,-4,2024-06-11,1.118,1.035,29173011.55,31290163.19181
STRK,2024-06-15,VC,0.64,-3,2024-06-12,1.036,1.071,25223960.64,26810405.31846
STRK,2024-06-15,VC,0.64,-2,2024-06-13,1.072,0.987,19973275.44,20252377.234
STRK,2024-06-15,VC,0.64,-1,2024-06-14,0.988,0.943,23978379.77,23067284.81701
STRK,2024-06-15,VC,0.64,0,2024-06-15,0.944,0.934,12986070.2,12358559.31124
STRK,2024-06-15,VC,0.64,1,2024-06-16,0.934,0.935,11258172.82,10508282.5689
STRK,2024-06-15,VC,0.64,2,2024-06-17,0.936,0.795,45444695.36,38437268.72217
STRK,2024-06-15,VC,0.64,3,2024-06-18,0.795,0.736,51288767.35,37567795.89845
STRK,2024-06-15,VC,0.64,4,2024-06-19,0.736,0.732,31923571.3,23290578.405
STRK,2024-06-15,VC,0.64,5,2024-06-20,0.732,0.725,28157973.33,20628926.20095
STRK,2024-06-15,VC,0.64,6,2024-06-21,0.724,0.719,21597313.62,15663217.56434
STRK,2024-06-15,VC,0.64,7,2024-06-22,0.719,0.719,10250022.48,7332755.99334
JUP,2025-01-31,VC,10.0,-7,2025-01-24,0.7963,0.8431,99062406.8,83729033.02229
JUP,2025-01-31,VC,10.0,-6,2025-01-25,0.843,0.9712,179511053.9,169156112.55045
JUP,2025-01-31,VC,10.0,-5,2025-01-26,0.9708,1.0533,305563967.0,345338723.47241
JUP,2025-01-31,VC,10.0,-4,2025-01-27,1.0534,1.1237,306451366.9,315191354.7862
JUP,2025-01-31,VC,10.0,-3,2025-01-28,1.1249,1.1207,187952672.9,221815556.62841
JUP,2025-01-31,VC,10.0,-2,2025-01-29,1.1208,1.0894,99235689.5,109675899.85089
JUP,2025-01-31,VC,10.0,-1,2025-01-30,1.0894,1.0935,76565126.4,85015039.83587
JUP,2025-01-31,VC,10.0,0,2025-01-31,1.0936,1.0371,56640947.9,59499164.45407
JUP,2025-01-31,VC,10.0,1,2025-02-01,1.0371,0.9237,45423199.2,44987540.26188
JUP,2025-01-31,VC,10.0,2,2025-02-02,0.9238,0.9153,118400988.1,110137974.19976
JUP,2025-01-31,VC,10.0,3,2025-02-03,0.9157,1.0072,245425877.7,214963213.35796
JUP,2025-01-31,VC,10.0,4,2025-02-04,1.0069,0.96,102311469.5,100744792.18774
JUP,2025-01-31,VC,10.0,5,2025-02-05,0.9601,0.8841,43807105.6,40786293.51768
JUP,2025-01-31,VC,10.0,6,2025-02-06,0.8838,0.8274,35259694.7,30602895.53338
JUP,2025-01-31,VC,10.0,7,2025-02-07,0.8273,0.8007,41987209.7,35048706.70948
ZK,2025-06-17,VC,17.5,-7,2025-06-10,0.0569,0.0586,102317934.7,5884004.83955
ZK,2025-06-17,VC,17.5,-6,2025-06-11,0.0586,0.055,63604128.1,3618968.46845
ZK,2025-06-17,VC,17.5,-5,2025-06-12,0.055,0.0521,59959401.0,3238862.81064
ZK,2025-06-17,VC,17.5,-4,2025-06-13,0.0521,0.0505,111552374.8,5488093.28001
ZK,2025-06-17,VC,17.5,-3,2025-06-14,0.0505,0.0515,68481193.0,3527901.87109
ZK,2025-06-17,VC,17.5,-2,2025-06-15,0.0515,0.0499,48092643.5,2406415.52893
